Sağlık Tesisi Adı,Ana Kategori,Alt Kategori,İlçe Adı,Mahalle Adı,ADRES,Latitude,Longitude
Diş Hekimi Bülent Kaplan,Sağlık,Diş Hekimi,BAYRAMPAŞA,MURATPAŞA,Kamil Cad. No:3 -5 MURATPAŞA/BAYRAMPAŞA,41.04575,28.905425
İnan Optik,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,YENİDOĞAN,Abdi İpekçi Cad. No:87 E YENİDOĞAN/BAYRAMPAŞA,41.039169,28.912227
Kalender Optik,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,ORTA,Demirkapı Cad. No:15 ORTA/BAYRAMPAŞA,41.03536,28.910504
World Medikal,Sağlık,Medikal,ZEYTİNBURNU,MALTEPE,Maltepe Kışla Cad. No:11 -15 MALTEPE/ZEYTİNBURNU,41.031498,28.913341
Diş Hekimi Serdar Yalçın,Sağlık,Diş Hekimi,BAYRAMPAŞA,YENİDOĞAN,Atışalanı Cad. No:3 YENİDOĞAN/BAYRAMPAŞA,41.038482,28.912048
Si-Set İşitme Cihazları,Sağlık,İşitme Cihazı Satış ve Uygulama Merkezi,BAYRAMPAŞA,İSMET PAŞA,İsmet Paşa Cad. No:64 A İSMET PAŞA/BAYRAMPAŞA,41.042337,28.904379
Dentekip,Sağlık,Diş Hekimi,BAYRAMPAŞA,İSMET PAŞA,Tuna Cad. No:37 -39B İSMET PAŞA/BAYRAMPAŞA,41.04512,28.906388
Erdem Optik,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,ORTA,Demirkapı Cad. No:43 A ORTA/BAYRAMPAŞA,41.036807,28.909507
Gözlük Dünyası,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,YENİDOĞAN,Özgür Sk. No:3 A YENİDOĞAN/BAYRAMPAŞA,41.035594,28.913452
Akademi Optik,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,YENİDOĞAN,Abdi İpekçi Cad. No:47 A YENİDOĞAN/BAYRAMPAŞA,41.036891,28.912062
Elie Optik,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,TERAZİDERE,60. Yıl Cad. No:24 B TERAZİDERE/BAYRAMPAŞA,41.032761,28.900724
Diş Hekimi Özcan Kılıç,Sağlık,Diş Hekimi,BAYRAMPAŞA,İSMET PAŞA,Tuna Cad. No:43 İSMET PAŞA/BAYRAMPAŞA,41.045152,28.906134
Bayrampaşa Ulubatlı Hasan Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,BAYRAMPAŞA,MURATPAŞA,Kamil Cad. No:90 -92A MURATPAŞA/BAYRAMPAŞA,41.049873,28.906772
Gökay Medikal,Sağlık,Medikal,BAĞCILAR,MAHMUTBEY,2437. Sk. No:101 MAHMUTBEY/BAĞCILAR,41.064912,28.820066
Diş Hekimi Nuri Taylan,Sağlık,Diş Hekimi,BAYRAMPAŞA,YENİDOĞAN,Yahya Kemal Cad. No:2 YENİDOĞAN/BAYRAMPAŞA,41.039057,28.90756
Else Optik,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,İSMET PAŞA,Tuna Cad. No:47 A İSMET PAŞA/BAYRAMPAŞA,41.045174,28.906001
Diş Hekimi Serpil Süral Çavdar,Sağlık,Diş Hekimi,BAYRAMPAŞA,ORTA,Özen Sk. No:22 ORTA/BAYRAMPAŞA,41.036312,28.909797
Aktif Medikal,Sağlık,Medikal,BAYRAMPAŞA,İSMET PAŞA,İsmet Paşa Cad. No:68 A İSMET PAŞA/BAYRAMPAŞA,41.042433,28.904014
Ercan Optik,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,YENİDOĞAN,Özgür Sk. No:2 D YENİDOĞAN/BAYRAMPAŞA,41.035387,28.91306
Gündem Optik,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,YENİDOĞAN,Abdi İpekçi Cad. No:87 F YENİDOĞAN/BAYRAMPAŞA,41.039237,28.912226
Diş Hekimi Muzaffer ve F. Arzu Erdoğral,Sağlık,Diş Hekimi,BAYRAMPAŞA,MURATPAŞA,Şehit Cihan Elkan Sk. No:1 MURATPAŞA/BAYRAMPAŞA,41.044699,28.909448
Terapi Veteriner,Sağlık,Veteriner,BAYRAMPAŞA,İSMET PAŞA,İsmet Paşa Cad. No:43 A İSMET PAŞA/BAYRAMPAŞA,41.041483,28.906943
Diş Hekimi,Sağlık,Diş Hekimi,BAYRAMPAŞA,İSMET PAŞA,Hisar Sk. No:19 A İSMET PAŞA/BAYRAMPAŞA,41.042734,28.909317
Göz Vakfı Optik,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,YENİDOĞAN,Abdi İpekçi Cad. No:87 H YENİDOĞAN/BAYRAMPAŞA,41.03921,28.912227
Özel Ertaş Diş Sağlığı Merkezi,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,BAYRAMPAŞA,YENİDOĞAN,Ulubatlı Sk. No:1 YENİDOĞAN/BAYRAMPAŞA,41.036522,28.912369
Özel Kaletürk Ağız ve Diş Sağlığı Merkezi,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,BAYRAMPAŞA,İSMET PAŞA,İsmet Paşa Cad. No:15 A İSMET PAŞA/BAYRAMPAŞA,41.041181,28.908135
Bay Optik,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,İSMET PAŞA,Kenar Cad. No:75 -77D İSMET PAŞA/BAYRAMPAŞA,41.042138,28.903748
Bay Optik,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,YENİDOĞAN,Abdi İpekçi Cad. No:87 G YENİDOĞAN/BAYRAMPAŞA,41.039273,28.912226
Diş Hekimi Hakan Köse,Sağlık,Diş Hekimi,BAYRAMPAŞA,İSMET PAŞA,İsmet Paşa Cad. No:77 A İSMET PAŞA/BAYRAMPAŞA,41.042242,28.904106
