Sağlık Tesisi Adı,Ana Kategori,Alt Kategori,İlçe Adı,Mahalle Adı,ADRES,Latitude,Longitude
Diş Hekimi Melih Levend Uçar,Sağlık,Diş Hekimi,KAĞITHANE,ÇELİKTEPE,İsmet İnönü Cad. No:37 ÇELİKTEPE/KAĞITHANE,41.083236,29.003288
Ortodonti-Özel İzmirli Ortodonti,Sağlık,Diş Hekimi,BEŞİKTAŞ,NİSBETİYE,Nisbetiye Cad. No:30 C NİSBETİYE/BEŞİKTAŞ,41.075487,29.018884
Uzman Nörolog Dr. Ali Akben,Sağlık,Doktor/Muayenehane,FATİH,AKŞEMSETTİN,Akdeniz Cad. No:24 AKŞEMSETTİN/FATİH,41.019247,28.946446
Jin. Op. Dr. Esra Kirsever,Sağlık,Doktor/Muayenehane,BAKIRKÖY,ZUHURATBABA,Haksever Sk. No:12 ZUHURATBABA/BAKIRKÖY,40.993828,28.869423
Dişçi Gülsün Kahya,Sağlık,Diş Hekimi,BAKIRKÖY,ZEYTİNLİK,Türkçü Sk. No:16 /1 ZEYTİNLİK/BAKIRKÖY,40.979732,28.872541
Jineart Muayenehane,Sağlık,Doktor/Muayenehane,KADIKÖY,SUADİYE,Plaj Yolu Sk. No:14 SUADİYE/KADIKÖY,40.957346,29.080898
Otantik Psikoloji,Sağlık,Psikologlar,KADIKÖY,SUADİYE,Bağdat Cad. No:401 SUADİYE/KADIKÖY,40.961345,29.079071
Jinekolog Dr. Deniz Temen Doğruyol,Sağlık,Doktor/Muayenehane,FATİH,ŞEHREMİNİ,Başvekil Cad. No:3 A ŞEHREMİNİ/FATİH,41.014733,28.93361
Peker Çocuk Gelişimi ve Psikolojik Danışmanlık,Sağlık,Psikologlar,BAKIRKÖY,ZEYTİNLİK,Milliyetçi Sk. No:19 ZEYTİNLİK/BAKIRKÖY,40.979615,28.871387
Uzm. Dr. Kurtuluş Hallaç,Sağlık,Doktor/Muayenehane,BAHÇELİEVLER,BAHÇELİEVLER,İzzettin Çalışlar Cad. No:54 BAHÇELİEVLER/BAHÇELİEVLER,40.999572,28.869817
Mithra Psikoloji,Sağlık,Psikologlar,MALTEPE,ALTINTEPE,Bağdat Cad. No:43 A ALTINTEPE/MALTEPE,40.952246,29.098696
Dr. Adil Şahin,Sağlık,Doktor/Muayenehane,KAĞITHANE,HÜRRİYET,Taşocağı Cad. No:14 HÜRRİYET/KAĞITHANE,41.072939,28.981963
Bera Medical,Sağlık,Medikal,MALTEPE,KÜÇÜKYALI MERKEZ,Bağdat Cad. No:102 J KÜÇÜKYALI MERKEZ/MALTEPE,40.948749,29.106035
Diş Hekimi Esra Özyiğit,Sağlık,Diş Hekimi,MALTEPE,BAĞLARBAŞI,Bağdat Cad. No:415 BAĞLARBAŞI/MALTEPE,40.92505,29.131821
Diş Hekimi Gül İncebayraktar Aykanat,Sağlık,Diş Hekimi,MALTEPE,BAĞLARBAŞI,Bağdat Cad. No:415 BAĞLARBAŞI/MALTEPE,40.924909,29.131662
SBÜ İstanbul Haydarpaşa Numune Eğitim ve Araştırma Hastanesi,Sağlık,Eğitim Araştırma Hastanesi,ÜSKÜDAR,SELİMİYE,Tıbbiye Cad. No:23 /5 SELİMİYE/ÜSKÜDAR,41.004846,29.023363
T.C. Sağlık Bakanlığı Sultanbeyli Devlet Hastanesi,Sağlık,Devlet Hastanesi,SULTANBEYLİ,BATTALGAZİ,Paşaköy Cad. No:60 BATTALGAZİ/SULTANBEYLİ,40.986044,29.283927
Uzm. Kl. Psk. Ali Sine,Sağlık,Psikologlar,BAYRAMPAŞA,CEVATPAŞA,Eski Edirne Asfaltı Cad. No:367 CEVATPAŞA/BAYRAMPAŞA,41.072296,28.887917
Diş Hekimi Reha Tokgöz,Sağlık,Diş Hekimi,ŞİŞLİ,CUMHURİYET,Halaskargazi Cad. No:111 CUMHURİYET/ŞİŞLİ,41.054335,28.986855
Dr. Buğra Soygüdeçene Cerrahisi,Sağlık,Doktor/Muayenehane,KADIKÖY,CADDEBOSTAN,Ethemefendi Cad. No:3 CADDEBOSTAN/KADIKÖY,40.966631,29.070038
Metin Sabancı Baltalimanı Kemik Hastalıkları Eğitim ve Araştırma Hastanesi,Sağlık,Eğitim Araştırma Hastanesi,SARIYER,BALTALİMANI,Baltalimanı Hisar Cad. No:56 BALTALİMANI/SARIYER,41.09576,29.053369
İstanbul Güneş Ecza Deposu,Sağlık,Ecza Deposu,KÜÇÜKÇEKMECE,BEŞYOL,Cami Sk. No:11 BEŞYOL/KÜÇÜKÇEKMECE,40.993322,28.7959
Tayfuntay Ecza Deposu,Sağlık,Ecza Deposu,BAKIRKÖY,OSMANİYE,Aksu Osmaniye Yolu Sk. No:25 A OSMANİYE/BAKIRKÖY,40.98985,28.884895
Dr. Kemali Güneş,Sağlık,Doktor/Muayenehane,KADIKÖY,BOSTANCI,Balıkçı Yunus Sk. No:10 BOSTANCI/KADIKÖY,40.953111,29.09242
T.C. Sağlık Bakanlığı Tuzla Devlet Hastanesi,Sağlık,Devlet Hastanesi,TUZLA,İÇMELER,Piri Reis Cad. No:74 /1 İÇMELER/TUZLA,40.844437,29.303179
Psikoteknik,Sağlık,Psikoteknik Değerlendirme Merkezi,KÜÇÜKÇEKMECE,CENNET,Alparslan Cad. No:1 CENNET/KÜÇÜKÇEKMECE,40.985789,28.782773
Işın Optik,Sağlık,Gözlükçü/Optik,KAĞITHANE,EMNİYET EVLERİ,Seyir Cad. No:4 B EMNİYET EVLERİ/KAĞITHANE,41.08578,29.004802
Diş Hekimi Nurçin Yıldırım,Sağlık,Diş Hekimi,BÜYÜKÇEKMECE,PINARTEPE,Yavuz Sultan Selim Bulvarı No:28 PINARTEPE/BÜYÜKÇEKMECE,41.013685,28.625346
Kamer Optik,Sağlık,Gözlükçü/Optik,FATİH,BALAT,Manyasizade Cad. No:60 B BALAT/FATİH,41.027112,28.946722
Gold Veteriner,Sağlık,Veteriner,BEYLİKDÜZÜ,BÜYÜKŞEHİR,Enver Adakan Cad. No:16 B3 BÜYÜKŞEHİR/BEYLİKDÜZÜ,41.001972,28.647318
Hayat Piskoloji Doktor,Sağlık,Psikologlar,BAKIRKÖY,ZEYTİNLİK,Türkçü Sk. No:16 B ZEYTİNLİK/BAKIRKÖY,40.979615,28.872563
Dr. Dt. Harika Gonca Pirebaş,Sağlık,Diş Hekimi,MALTEPE,ZÜMRÜTEVLER,Başöğretmen Cad. No:38 ZÜMRÜTEVLER/MALTEPE,40.941895,29.144055
Dr. Dt. Necmi Namal,Sağlık,Diş Hekimi,FATİH,BALAT,Yıldırım Cad. No:2 BALAT/FATİH,41.029869,28.951674
Doruk Optik,Sağlık,Gözlükçü/Optik,ATAŞEHİR,KÜÇÜKBAKKALKÖY,Kayışdağı Cad. No:69 /3A KÜÇÜKBAKKALKÖY/ATAŞEHİR,40.979086,29.112721
Bezmialem Vakıf Üniversitesi Diş Hekimliği Fakültesi Kliniği,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,FATİH,TOPKAPI,Adnan Menderes Vatan Bulvarı No:115 /4 TOPKAPI/FATİH,41.01909,28.935656
Ekol İşitme Cihazları,Sağlık,İşitme Cihazı Satış ve Uygulama Merkezi,ÜMRANİYE,ATATÜRK,Alemdağ Cad. No:18 ATATÜRK/ÜMRANİYE,41.024348,29.085423
Çocuk Ağız ve Diş Sağlığı Uzmanı Dr. Dt. Miray Yıldırım,Sağlık,Diş Hekimi,KARTAL,YUKARI,Buket Sk. No:3 YUKARI/KARTAL,40.889286,29.182714
Dr. Dt. Barış Tunalı,Sağlık,Diş Hekimi,KADIKÖY,CADDEBOSTAN,Hamam Sk. No:20 CADDEBOSTAN/KADIKÖY,40.968956,29.068501
Dr. Dt. Cem Uygur,Sağlık,Diş Hekimi,KADIKÖY,CADDEBOSTAN,Bağdat Cad. No:226 CADDEBOSTAN/KADIKÖY,40.973107,29.055918
Op. Dr. Çağatay Kemerli,Sağlık,Doktor/Muayenehane,BAKIRKÖY,ZUHURATBABA,Haksever Sk. No:12 ZUHURATBABA/BAKIRKÖY,40.993984,28.869473
Dr. Dt. Şükran Sarıgül,Sağlık,Diş Hekimi,KADIKÖY,MERDİVENKÖY,Fahrettin Kerim Gökay Cad. No:165 MERDİVENKÖY/KADIKÖY,40.984231,29.059346
Dr. Dt. Sema Özgen,Sağlık,Diş Hekimi,ÜMRANİYE,NAMIK KEMAL,Kıymetdar Sk. No:3 NAMIK KEMAL/ÜMRANİYE,41.024062,29.083577
Dr. Dt. Zerrin Kalfa,Sağlık,Diş Hekimi,SARIYER,YENİKÖY,Arpacı Ali Sk. No:8 /1 YENİKÖY/SARIYER,41.117618,29.063522
Psk. Dan. Hatice Subaşı,Sağlık,Psikologlar,BEYLİKDÜZÜ,BARIŞ,Çiftlik Cad. No:9 BARIŞ/BEYLİKDÜZÜ,40.996108,28.64647
Diş Hekimi Akif Yılmaz,Sağlık,Diş Hekimi,ÜMRANİYE,ELMALIKENT,Adem Yavuz Cad. No:141 D ELMALIKENT/ÜMRANİYE,41.043299,29.099397
Tuğba Optik,Sağlık,Gözlükçü/Optik,BAHÇELİEVLER,FEVZİ ÇAKMAK,Fatih Cad. No:20 A FEVZİ ÇAKMAK/BAHÇELİEVLER,40.998379,28.830931
Özel Emre Ağız ve Sağlığı Polikliniği,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,ESENLER,ORUÇREİS,Tepe Cad. No:1 ORUÇREİS/ESENLER,41.062801,28.86011
Biruni Laboratuvar,Sağlık,Laboratuvar Özel,BEŞİKTAŞ,GAYRETTEPE,Yıldız Posta Cad. No:26 A GAYRETTEPE/BEŞİKTAŞ,41.066191,29.006737
Chic Optik,Sağlık,Gözlükçü/Optik,KADIKÖY,ACIBADEM,Sarayardı Cad. No:1 A ACIBADEM/KADIKÖY,40.998018,29.03245
Asel Optik,Sağlık,Gözlükçü/Optik,PENDİK,DOĞU,Ortanca Cad. No:65 B DOĞU/PENDİK,40.878287,29.234942
Başakşehir Çam ve Sakura Şehir Hastanesi,Sağlık,Şehir Hastanesi,BAŞAKŞEHİR,BAŞAKŞEHİR,Şehir Hastanesi Cad. No:2 L BAŞAKŞEHİR/BAŞAKŞEHİR,41.105178,28.776509
Çarşı Optik,Sağlık,Gözlükçü/Optik,KARTAL,YUKARI,Üsküdar Cad. No:9 /1A YUKARI/KARTAL,40.888958,29.183564
Dr. Ezgi Kaygusuz,Sağlık,Doktor/Muayenehane,ŞİŞLİ,TEŞVİKİYE,Sezai Selek Sk. No:18 TEŞVİKİYE/ŞİŞLİ,41.053828,28.995786
Özel Ozan Mert Aslan Ağız ve Diş Sağlığı Polikliniği,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,TUZLA,AYDINLI,Gürpınar Cad. No:40 B AYDINLI/TUZLA,40.871387,29.328253
Üsküdar Devlet Hastanesi Çamlıca Semt Polikliniği,Sağlık,Semt Poliklinikleri,ÜSKÜDAR,KISIKLI,Ferah Cad. No:40 KISIKLI/ÜSKÜDAR,41.027359,29.074986
Medmar Görüntüleme Merkezi,Sağlık,Görüntüleme Merkezi Özel,ŞİŞLİ,TEŞVİKİYE,Güzel Bahçe Sk. No:31 TEŞVİKİYE/ŞİŞLİ,41.053701,28.995012
Haydarpaşa Numune Eğitim ve Araştırma Hastanesi Semt Polikliniği,Sağlık,Semt Poliklinikleri,KADIKÖY,OSMANAĞA,Talimhane Sk. No:2 OSMANAĞA/KADIKÖY,40.992977,29.028919
Özel Uğurel Ağız ve Diş Sağlığı Polikliniği,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,PENDİK,DOĞU,Aydınlı Yolu Cad. No:104 /6 DOĞU/PENDİK,40.876143,29.247517
Kalyon Optik,Sağlık,Gözlükçü/Optik,ESENYURT,BAĞLARÇEŞME,Ondokuz Mayıs Bulvarı No:20 B BAĞLARÇEŞME/ESENYURT,41.03308,28.676266
Pendik Devlet Hastanesi Kaynarca Semt Polikliniği,Sağlık,Semt Poliklinikleri,PENDİK,KAYNARCA,Hastane Cad. No:1 KAYNARCA/PENDİK,40.87337,29.253493
Lütfi Kırdar Hastanesi Adalet Sarayı Semt Polikliniği,Sağlık,Semt Poliklinikleri,KARTAL,CEVİZLİ,Cevizli D-100 Güney Yanyol No:39 CEVİZLİ/KARTAL,40.915697,29.178956
Med Dental Dr. Hülya Er Çintel,Sağlık,Diş Hekimi,KADIKÖY,FENERBAHÇE,Bedri Rahmi Eyüboğlu Sk. No:10 /1 FENERBAHÇE/KADIKÖY,40.978255,29.043506
Özel Bayındır Tıp Merkezi Levent,Sağlık,Tıp Merkezi Özel,BEŞİKTAŞ,NİSBETİYE,Aydın Sk. No:8 NİSBETİYE/BEŞİKTAŞ,41.073083,29.018022
Doç. Dr. Ömer Uz,Sağlık,Doktor/Muayenehane,BEYLİKDÜZÜ,BÜYÜKŞEHİR,Beylikdüzü Cad. No:3 BÜYÜKŞEHİR/BEYLİKDÜZÜ,41.01278,28.645418
Prof. Dr. Özay Özkaya,Sağlık,Doktor/Muayenehane,ŞİŞLİ,HARBİYE,Teşvikiye Cad. No:43 HARBİYE/ŞİŞLİ,41.050716,28.992516
Seha ve Jamal Fizik Tedavi,Sağlık,Fizik Tedavi ve Rehabilitasyon Merkezi Özel,ESENYURT,ÜÇEVLER,Doğan Araslı Bulvarı No:105 ÜÇEVLER/ESENYURT,41.028858,28.683014
Prof. Dr. Selman Laçin,Sağlık,Doktor/Muayenehane,BEYLİKDÜZÜ,BÜYÜKŞEHİR,Beylikdüzü Cad. No:3 BÜYÜKŞEHİR/BEYLİKDÜZÜ,41.012789,28.645427
Özel Fizyodent Ağız ve Diş Sağlığı Polikliniği,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,KADIKÖY,CAFERAĞA,Mühürdar Cad. No:91 CAFERAĞA/KADIKÖY,40.987025,29.021824
Vet Point Veteriner Kliniği,Sağlık,Veteriner,SARIYER,RUMELİ HİSARI,Baltalimanı Hisar Cad. No:15 RUMELİ HİSARI/SARIYER,41.089879,29.056428
Aktiv 2 Optik,Sağlık,Gözlükçü/Optik,FATİH,HASEKİ SULTAN,Haseki Cad. No:18 HASEKİ SULTAN/FATİH,41.009534,28.945962
Özer Optik,Sağlık,Gözlükçü/Optik,BAĞCILAR,100. YIL,Barbaros Cad. No:53 A 100. YIL/BAĞCILAR,41.059505,28.854716
Medikal Destek Ortopedi ve Sağlık Ürünleri Merkezi,Sağlık,Medikal,BAKIRKÖY,ZUHURATBABA,Şükran Çiftliği Sk. No:7 ZUHURATBABA/BAKIRKÖY,40.981128,28.87247
Kadıköy İsmail Köseoğlu Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,KADIKÖY,CAFERAĞA,Bademaltı Sk. No:8 CAFERAĞA/KADIKÖY,40.984959,29.025247
Ümraniye Çamlık Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,ÜMRANİYE,ÇAMLIK,Turgut Özal Bulvarı No:15 ÇAMLIK/ÜMRANİYE,41.009014,29.125603
Pendik Fatih 2 Ağız ve Diş Sağlığı Polikliniği,Sağlık,Ağız Diş Sağlığı Merkezi,PENDİK,BATI,Ortanca Cad. No:6 BATI/PENDİK,40.876602,29.229943
Pendik Kan Alma Birimi Türk Kızılayı,Sağlık,Kızılay/Kan Merkezi,PENDİK,DOĞU,Ortanca Cad. No:50 /1 DOĞU/PENDİK,40.877888,29.234308
Özel Dr. Sadık Ahmet Hastanesi,Sağlık,Özel Hastane,KÜÇÜKÇEKMECE,YENİ MAHALLE,İnönü Cad. No:140 YENİ MAHALLE/KÜÇÜKÇEKMECE,40.999674,28.780399
Dünyagöz,Sağlık,Göz Merkezi Özel,BAĞCILAR,İNÖNÜ,Hoca Ahmet Yesevi Cad. No:13 İNÖNÜ/BAĞCILAR,41.033582,28.853716
Dr. İrem Merve Peksöz,Sağlık,Diş Hekimi,BAKIRKÖY,ZUHURATBABA,Şükran Çiftliği Sk. No:27 ZUHURATBABA/BAKIRKÖY,40.981054,28.870837
Süreyyapaşa Göğüs Hastalıkları ve Göğüs Cerrahisi Eğitim ve Araştırma Hastanesi,Sağlık,Eğitim Araştırma Hastanesi,MALTEPE,BAŞIBÜYÜK,Maltepe-Başıbüyük Yolu No:9 BAŞIBÜYÜK/MALTEPE,40.950666,29.140571
Sarıyer Hamidiye Etfal Devlet Hastanesi,Sağlık,Devlet Hastanesi,SARIYER,KAZIM KARABEKİR PAŞA,Bahçeköy Cad. No:62 KAZIM KARABEKİR PAŞA/SARIYER,41.157441,29.027268
Çekmeköy Devlet Hastanesi,Sağlık,Devlet Hastanesi,ÇEKMEKÖY,EKŞİOĞLU,Saray Cad. No:103 EKŞİOĞLU/ÇEKMEKÖY,41.036792,29.235292
Gaziosmanpaşa Fatma Bıyıklı Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,GAZİOSMANPAŞA,KARADENİZ,Namık Kemal Cad. No:38 KARADENİZ/GAZİOSMANPAŞA,41.0782,28.880669
Pendik 8 No'lu Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,PENDİK,YENİ,Zişan Sk. No:4 YENİ/PENDİK,40.88846,29.230056
Ibni Sina Hastanesi,Sağlık,Özel Hastane,KARTAL,ATALAR,Üsküdar Cad. No:99 -101 ATALAR/KARTAL,40.90095,29.167346
Özeller Optik,Sağlık,Gözlükçü/Optik,ESENYURT,SULTANİYE,Sıdıka Cebecioğlu Sk. No:6 -8 SULTANİYE/ESENYURT,41.032281,28.682506
Avrupa Tıp Merkezi,Sağlık,Tıp Merkezi Özel,ESENYURT,İNÖNÜ,Doğan Araslı Bulvarı No:114 İNÖNÜ/ESENYURT,41.025686,28.685073
İstinye Üniversite Hastanesi,Sağlık,Üniversite Hastanesi,ESENYURT,AŞIK VEYSEL,Atatürk Bulvarı No:6 AŞIK VEYSEL/ESENYURT,41.056305,28.671764
Kağıthane Çağlayan 1 No'lu Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,KAĞITHANE,ÇAĞLAYAN,Neşe Sk. No:8 ÇAĞLAYAN/KAĞITHANE,41.076011,28.980163
Esenyurt 13 No'lu Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,ESENYURT,ZAFER,Tonguç Baba Cad. No:69 G ZAFER/ESENYURT,41.011661,28.68678
Gaziosmanpaşa 11 No'lu Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,GAZİOSMANPAŞA,ŞEMSİPAŞA,15. Sk. No:23 ŞEMSİPAŞA/GAZİOSMANPAŞA,41.064727,28.905139
Bahçelievler Zafer Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,BAHÇELİEVLER,ZAFER,Marsan Sk. No:2 ZAFER/BAHÇELİEVLER,41.011375,28.834472
Psk. Nayime Sönmez,Sağlık,Psikologlar,ESENYURT,MEVLANA,Sultan Ahmet Cad. No:3 C MEVLANA/ESENYURT,41.011733,28.655764
Uzm. Dr. Dilek Akça Erzengin,Sağlık,Doktor/Muayenehane,ESENYURT,MEVLANA,Sultan Ahmet Cad. No:3 C MEVLANA/ESENYURT,41.011733,28.655764
Bakım Evi,Sağlık,Yaşlı Bakım Evi/Huzurevi,BÜYÜKÇEKMECE,FATİH,Kaynak Sk. No:17 B FATİH/BÜYÜKÇEKMECE,41.021399,28.600353
Op. Dr. Deniz Korkmaz,Sağlık,Doktor/Muayenehane,KADIKÖY,ZÜHTÜPAŞA,Münir Nurettin Selçuk Cad. No:70 ZÜHTÜPAŞA/KADIKÖY,40.982144,29.037442
Uz. Dr. Canan Öztürk,Sağlık,Doktor/Muayenehane,KADIKÖY,ZÜHTÜPAŞA,Münir Nurettin Selçuk Cad. No:70 ZÜHTÜPAŞA/KADIKÖY,40.982162,29.037453
Bahçelievler Kocasinan Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,BAHÇELİEVLER,YENİBOSNA MERKEZ,Atatürk Cad. No:51 YENİBOSNA MERKEZ/BAHÇELİEVLER,41.014798,28.835588
Özel Dentatlas Ağız ve Diş Sağlığı Polikliniği,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,ÜMRANİYE,İSTİKLAL,Şadırvan Sk. No:53 İSTİKLAL/ÜMRANİYE,41.0239,29.104501
Asko Optik,Sağlık,Gözlükçü/Optik,FATİH,AKŞEMSETTİN,Akdeniz Cad. No:22 AKŞEMSETTİN/FATİH,41.019267,28.946501
Soğuksu Aile Sağlık Merkezi,Sağlık,Aile Sağlığı Merkezi,BEYKOZ,İNCİRKÖY,Gonca Sk. No:1 İNCİRKÖY/BEYKOZ,41.114198,29.107832
Caymazer Optik,Sağlık,Gözlükçü/Optik,GAZİOSMANPAŞA,MERKEZ,Çukurçeşme Cad. No:25 MERKEZ/GAZİOSMANPAŞA,41.05831,28.910923
Medipol Üniversitesi Vatan Kliniği,Sağlık,Üniversite Hastanesi,FATİH,MOLLA GÜRANİ,Halıcılar Köşkü Sk. No:11 MOLLA GÜRANİ/FATİH,41.014997,28.942052
İstanbul Maltepe Üniversitesi Tıp Fakültesi Hastanesi,Sağlık,Üniversite Hastanesi,MALTEPE,BAĞLARBAŞI,Feyzullah Cad. No:39 BAĞLARBAŞI/MALTEPE,40.925364,29.134937
İstanbul Eğitim Araştırma Hastanesi Zeytinburnu Polikliniği,Sağlık,Eğitim Araştırma Hastanesi,ZEYTİNBURNU,YENİDOĞAN,41. Sk. No:3 YENİDOĞAN/ZEYTİNBURNU,40.986839,28.905414
Özel Çağıner Hastanesi Evde Bakım Birimi,Sağlık,Evde Bakım Merkezleri,KADIKÖY,HASANPAŞA,Mirim Çelebi Sk. No:1 HASANPAŞA/KADIKÖY,40.996164,29.04526
Rainbow Optik,Sağlık,Gözlükçü/Optik,ÜSKÜDAR,ALTUNİZADE,Tophanelioğlu Cad. No:32 ALTUNİZADE/ÜSKÜDAR,41.019894,29.045271
Özel Medistate Kavacık Hastanesi Evde Bakım Birimi,Sağlık,Evde Bakım Merkezleri,BEYKOZ,RÜZGARLIBAHÇE,Cumhuriyet Cad. No:24 RÜZGARLIBAHÇE/BEYKOZ,41.094176,29.101366
Mediclinic,Sağlık,Medikal,ESENYURT,YEŞİLKENT,2011. Sk. No:16 B YEŞİLKENT/ESENYURT,41.026476,28.658966
Özel Avcılar Anadolu Hastanesi,Sağlık,Özel Hastane,AVCILAR,MUSTAFA KEMALPAŞA,Kayabaşı Sk. No:3 MUSTAFA KEMALPAŞA/AVCILAR,41.005556,28.706159
Petmania Veteriner Kliniği,Sağlık,Veteriner,BEYLİKDÜZÜ,BARIŞ,Eğitim Vadisi Bulvarı No:21 BARIŞ/BEYLİKDÜZÜ,40.988838,28.647495
Haseki Optik,Sağlık,Gözlükçü/Optik,FATİH,İSKENDERPAŞA,Kıztaşı Cad. No:6 İSKENDERPAŞA/FATİH,41.015763,28.950689
İstinye Üniversite Hastanesi Medical Park Gaziosmanpaşa,Sağlık,Üniversite Hastanesi,GAZİOSMANPAŞA,MERKEZ,Çukurçeşme Cad. No:61 A MERKEZ/GAZİOSMANPAŞA,41.059145,28.907151
Yeni Yüzyıl Üniversitesi Özel Gaziosmanpaşa Hastanesi,Sağlık,Üniversite Hastanesi,GAZİOSMANPAŞA,MERKEZ,Çukurçeşme Cad. No:51 MERKEZ/GAZİOSMANPAŞA,41.059025,28.908188
As Ecza Deposu,Sağlık,Ecza Deposu,GAZİOSMANPAŞA,MERKEZ,Çukurçeşme Cad. No:63 I MERKEZ/GAZİOSMANPAŞA,41.059613,28.906445
Rol Psikoloji,Sağlık,Psikologlar,PENDİK,BATI,23 Nisan Cad. No:8 /1 BATI/PENDİK,40.876192,29.232044
Pendik Orhangazi Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,PENDİK,ORHANGAZİ,Kemal Sk. No:17 A ORHANGAZİ/PENDİK,40.867284,29.286635
Sultangazi Ahi Evran Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,SULTANGAZİ,ESENTEPE,2872. Sk. No:20 B ESENTEPE/SULTANGAZİ,41.097459,28.885472
Kadıköy 32 No'lu Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,KADIKÖY,OSMANAĞA,Misak-ı Milli Sk. No:2 OSMANAĞA/KADIKÖY,40.993162,29.025087
Dolunay Optik,Sağlık,Gözlükçü/Optik,KAĞITHANE,SULTAN SELİM,Şahinler Cad. No:9 B SULTAN SELİM/KAĞITHANE,41.091224,29.001276
Duru Diş,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,KARTAL,ORHANTEPE,Üsküdar Cad. No:155 B ORHANTEPE/KARTAL,40.907826,29.159057
Diş Hekimi Zeynep Çebi,Sağlık,Diş Hekimi,SULTANBEYLİ,ABDURRAHMANGAZİ,Fatih Bulvarı No:89 ABDURRAHMANGAZİ/SULTANBEYLİ,40.968921,29.259762
Çekmeköy 10 No'lu Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,ÇEKMEKÖY,ÇAMLIK,Erciyes Sk. No:5 ÇAMLIK/ÇEKMEKÖY,41.020663,29.193163
Küçükçekmece Sinan Sipahi Merkez Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,KÜÇÜKÇEKMECE,TEVFİKBEY,Muammer Aksoy Cad. No:1 TEVFİKBEY/KÜÇÜKÇEKMECE,41.008641,28.799922
Çekmeköy Kirazlıdere Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,ÇEKMEKÖY,KİRAZLIDERE,Gümüş Sk. No:3 KİRAZLIDERE/ÇEKMEKÖY,41.018398,29.216025
Veteriner,Sağlık,Veteriner,PENDİK,YENİ,Plevne Cad. No:47 D YENİ/PENDİK,40.888935,29.228826
Ağa Optik,Sağlık,Gözlükçü/Optik,BAHÇELİEVLER,ÇOBANÇEŞME,Fatih Cad. No:93 B ÇOBANÇEŞME/BAHÇELİEVLER,41.006672,28.830979
Diş Hekimi Ermil Özdemirli,Sağlık,Diş Hekimi,GAZİOSMANPAŞA,SARIGÖL,Ordu Cad. No:112 SARIGÖL/GAZİOSMANPAŞA,41.057868,28.919433
Kartal Dr. Lütfı Kırdar Eğitim ve Araştırma Hastanesi Büyükada Ek Hizmet Binası,Sağlık,Eğitim Araştırma Hastanesi,ADALAR,NİZAM,Çarkıfelek Cad. No:12 NİZAM/ADALAR,40.870116,29.127867
Anadolu Optik,Sağlık,Gözlükçü/Optik,PENDİK,DOĞU,Ortanca Cad. No:64 A DOĞU/PENDİK,40.878334,29.235278
Hisar Evleri Elif Yılmaz Sağlık Kabini,Sağlık,Sağlık Kabini Özel,BEYKOZ,GÖZTEPE,Çamlı Cad. No:4 B GÖZTEPE/BEYKOZ,41.084384,29.091543
Şile 1 No' lu Acil Yardım İstasyonu,Sağlık,Acil Yardım İstasyonu,ŞİLE,HACI KASIM,Üsküdar Cad. No:2 HACI KASIM/ŞİLE,41.178115,29.612081
Dali Optik,Sağlık,Gözlükçü/Optik,AVCILAR,MERKEZ,Merkez Cami Sk. No:35 B MERKEZ/AVCILAR,40.982654,28.72136
Özel Nisa Hastanesi,Sağlık,Özel Hastane,BAHÇELİEVLER,ÇOBANÇEŞME,Fatih Cad. No:3 ÇOBANÇEŞME/BAHÇELİEVLER,40.999431,28.830397
Özel Esen Sağlık Evde Bakım Hizmetleri,Sağlık,Evde Bakım Merkezleri,ESENYURT,BALIKYOLU,Amasyalılar Cad. No:29 A BALIKYOLU/ESENYURT,41.041477,28.69419
Göktürkler İlaç ve Ecza Deposu,Sağlık,Ecza Deposu,KARTAL,YUKARI,Doğan Sk. No:16 B YUKARI/KARTAL,40.888499,29.182461
